Indicator Category,Indicator,Year,Sex,Race/Ethnicity,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Male,All,18.8,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2010 NC BRFSS (Mecklenburg Sample),,,,,10.1,27.5
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,All,17.7,"San Diego County, CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Centers for Disease Control and Prevention, National Center for Chronic Disease Prevention and Health Promotion, Division of Population Health. BRFSS Data. 2010. [accessed 3/9/17].","Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",,,,14.9,20.4
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,White,25.0,"Seattle, WA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,20.0,31.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Female,All,19.5,"Boston, MA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Boston Behavioral Risk Factor Survey, Boston Public Health Commission",Percent estimates for binge drinking  represent the percent of adults who consumed 5+ alcoholic drinks (for men) and 4+ alcoholic drink (for women ) on an occasion during the past month.  This survey is not conducted annually.,,,,16.3,22.8
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,Other,,"Seattle, WA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,"Includes multi-race; Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator. Suppressed here to protect confidentiality.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,Hispanic,31.0,"Seattle, WA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,16.0,52.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,Black,,"Seattle, WA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Male,All,32.2,"Boston, MA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Boston Behavioral Risk Factor Survey, Boston Public Health Commission",Percent estimates for binge drinking  represent the percent of adults who consumed 5+ alcoholic drinks (for men) and 4+ alcoholic drink (for women ) on an occasion during the past month.  This survey is not conducted annually.,,,,27.8,36.7
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,White,87.5,"San Antonio, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2013 BRFSS Bexar County,,"Data includes Bexar County, TX, not just San Antonio",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,Other,41.4,"San Antonio, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2013 BRFSS Bexar County,,"Data includes Bexar County, TX, not just San Antonio",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,Hispanic,25.9,"San Antonio, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2013 BRFSS Bexar County,,"Data includes Bexar County, TX, not just San Antonio",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,All,16.1,"Philadelphia, PA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,"Computed as: males having five or more drinks on one occasion, females having four or more drinks on one occasion during the past 30 days",,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,Black,24.3,"San Antonio, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2013 BRFSS Bexar County,,"Data includes Bexar County, TX, not just San Antonio",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,Asian/PI,15.0,"Seattle, WA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,PI not included,,,6.0,33.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,All,24.0,"Seattle, WA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,20.0,28.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,All,15.3,"Fort Worth (Tarrant County), TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Behavior Risk Factors: Selected Metropolitan Area Risk Trends (SMART), Centers for Disease Control and Prevention",,Tarrant County (not just Fort Worth),,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Male,All,31.0,"Seattle, WA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,24.0,38.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,All,25.5,"Boston, MA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Boston Behavioral Risk Factor Survey, Boston Public Health Commission",Percent estimates for binge drinking  represent the percent of adults who consumed 5+ alcoholic drinks (for men) and 4+ alcoholic drink (for women ) on an occasion during the past month.  This survey is not conducted annually.,,,,22.8,28.3
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2010,Both,Black,11.3,"Boston, MA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Boston Behavioral Risk Factor Survey, Boston Public Health Commission",Percent estimates for binge drinking  represent the percent of adults who consumed 5+ alcoholic drinks (for men) and 4+ alcoholic drink (for women ) on an occasion during the past month.  This survey is not conducted annually.,,,,7.9,14.7
