DATE,SEASON,YEAR,PLOT,RELEASE,TAG 1 (LT),TAG 2 (RT),PIT TAG,SEX,AGE,MASS (G),Comments
06/23/05,SUMMER,2005,NT,R,001,NA,,F,A,960,Railyard capture
06/23/05,SUMMER,2005,NT,R,002,NA,,F,A,1040,Railyard capture
06/23/05,SUMMER,2005,NT,R,003,NA,,M,A,922,Railyard capture
06/23/05,SUMMER,2005,NT,R,004,NA,,M,A,828,Railyard capture
06/23/05,SUMMER,2005,NT,R,005,NA,,M,A,1002,Railyard capture
06/23/05,SUMMER,2005,NT,R,006,NA,,M,A,1034,Railyard capture
06/23/05,SUMMER,2005,NT,R,008,NA,,F,A,570,Railyard capture
06/23/05,SUMMER,2005,NT,R,009,NA,,F,A,640,Railyard capture
06/23/05,SUMMER,2005,NT,R,010,NA,,F,J,226,Railyard capture
06/23/05,SUMMER,2005,NT,R,011,NA,,M,J,244,Railyard capture
06/23/05,SUMMER,2005,NT,R,012,NA,,F,J,280,Railyard capture
06/23/05,SUMMER,2005,NT,R,013,NA,,F,A,866,Railyard capture
06/23/05,SUMMER,2005,NT,R,014,NA,,F,A,660,Railyard capture
06/23/05,SUMMER,2005,NT,R,015,NA,,F,J,258,Railyard capture
06/23/05,SUMMER,2005,NT,R,016,NA,,F,J,148,Railyard capture
06/23/05,SUMMER,2005,NT,R,017,NA,,M,J,232,Railyard capture
06/23/05,SUMMER,2005,NT,R,018,NA,,M,J,310,Railyard capture
06/23/05,SUMMER,2005,NT,R,019,NA,,F,J,230,Railyard capture
06/23/05,SUMMER,2005,NT,R,020,NA,,M,J,220,Railyard capture
06/23/05,SUMMER,2005,NT,R,021,NA,,M,A,815,Railyard capture
06/23/05,SUMMER,2005,NT,R,022,NA,,F,A,660,Railyard capture
06/23/05,SUMMER,2005,NT,R,023,NA,,M,A,850,Railyard capture
06/23/05,SUMMER,2005,NT,R,024,NA,,M,J,270,Railyard capture
06/23/05,SUMMER,2005,NT,R,026,NA,,F,J,224,Railyard capture
06/23/05,SUMMER,2005,NT,R,025,NA,,M,A,1012,Railyard capture
06/23/05,SUMMER,2005,NT,R,027,NA,,M,A,1130,Railyard capture
06/23/05,SUMMER,2005,NT,R,028,NA,,F,A,770,Railyard capture
06/23/05,SUMMER,2005,NT,R,029,NA,,M,J,260,Railyard capture
06/23/05,SUMMER,2005,NT,R,030,NA,,F,J,242,Railyard capture
06/23/05,SUMMER,2005,NT,R,031,NA,,M,J,230,Railyard capture
06/23/05,SUMMER,2005,NT,R,032,NA,,M,A,1278,Railyard capture
06/23/05,SUMMER,2005,NT,R,033,NA,,F,J,232,Railyard capture
06/23/05,SUMMER,2005,NT,R,034,NA,,M,J,228,Railyard capture
06/23/05,SUMMER,2005,NT,R,035,NA,,M,A,1150,Railyard capture
06/23/05,SUMMER,2005,NT,R,036,NA,,F,A,690,Railyard capture
06/23/05,SUMMER,2005,NT,R,037,NA,,F,J,380,Railyard capture
06/23/05,SUMMER,2005,NT,R,038,NA,,M,A,1022,Railyard capture
06/23/05,SUMMER,2005,NT,R,039,NA,,M,A,1158,Railyard capture
06/23/05,SUMMER,2005,NT,R,040,NA,,F,A,650,Railyard capture
06/23/05,SUMMER,2005,NT,R,041,NA,,F,A,812,Railyard capture
06/23/05,SUMMER,2005,NT,R,042,NA,,F,A,725,Railyard capture
06/23/05,SUMMER,2005,NT,R,043,NA,,M,A,970,Railyard capture
06/23/05,SUMMER,2005,NT,R,044,NA,,F,A,720,Railyard capture
06/23/05,SUMMER,2005,NT,R,045,NA,,F,J,230,Railyard capture
06/23/05,SUMMER,2005,NT,R,046,NA,,M,A,830,Railyard capture
06/23/05,SUMMER,2005,NT,R,047,NA,,F,A,668,Railyard capture
06/23/05,SUMMER,2005,NT,R,048,NA,,F,J,225,Railyard capture
06/23/05,SUMMER,2005,NT,R,049,NA,,M,A,720,Railyard capture
06/23/05,SUMMER,2005,NT,R,051,NA,,M,A,118,Railyard capture
06/23/05,SUMMER,2005,NT,R,052,NA,,F,J,250,Railyard capture
06/23/05,SUMMER,2005,NT,R,053,NA,,M,J,383,Railyard capture
06/23/05,SUMMER,2005,NT,R,054,NA,,M,J,187,Railyard capture
06/23/05,SUMMER,2005,NT,R,055,NA,,F,A,720,Railyard capture
06/23/05,SUMMER,2005,NT,R,056,NA,,M,J,212,Railyard capture
06/23/05,SUMMER,2005,NT,R,057,NA,,F,A,770,Railyard capture
06/23/05,SUMMER,2005,NT,R,058,NA,,F,A,748,Railyard capture
06/23/05,SUMMER,2005,NT,R,059,NA,,M,A,960,Railyard capture
06/23/05,SUMMER,2005,NT,R,060,NA,,M,A,1040,Railyard capture
06/23/05,SUMMER,2005,NT,R,061,NA,,F,J,330,Railyard capture
06/23/05,SUMMER,2005,NT,R,062,NA,,F,A,778,Railyard capture
06/23/05,SUMMER,2005,NT,R,063,NA,,M,J,247,Railyard capture
06/23/05,SUMMER,2005,NT,R,064,NA,,M,A,1060,Railyard capture
06/23/05,SUMMER,2005,NT,R,065,NA,,F,A,710,Railyard capture
06/23/05,SUMMER,2005,NT,R,066,NA,,M,J,276,Railyard capture
06/23/05,SUMMER,2005,NT,R,067,NA,,F,A,790,Railyard capture
06/23/05,SUMMER,2005,NT,R,068,NA,,F,J,237,Railyard capture
06/30/05,SUMMER,2005,MT,R,069,NA,,F,A,755,Railyard capture
06/30/05,SUMMER,2005,MT,R,070,NA,,M,J,285,Railyard capture
06/30/05,SUMMER,2005,MT,R,071,NA,,F,A,415,Railyard capture
06/30/05,SUMMER,2005,MT,R,072,NA,,M,A,1245,Railyard capture
06/30/05,SUMMER,2005,MT,R,073,NA,,M,J,265,Railyard capture
06/30/05,SUMMER,2005,MT,R,074,NA,,M,J,265,Railyard capture
06/30/05,SUMMER,2005,MT,R,075,NA,,F,A,610,Railyard capture
06/30/05,SUMMER,2005,MT,R,076,NA,,F,A,775,Railyard capture
06/30/05,SUMMER,2005,MT,R,077,NA,,M,J,380,Railyard capture
06/30/05,SUMMER,2005,MT,R,078,NA,,F,J,235,Railyard capture
06/30/05,SUMMER,2005,MT,R,079,NA,,M,J,415,Railyard capture
06/30/05,SUMMER,2005,MT,R,080,NA,,M,J,445,Railyard capture
06/30/05,SUMMER,2005,MT,R,081,NA,,F,A,735,Railyard capture
06/30/05,SUMMER,2005,MT,R,082,NA,,F,A,680,Railyard capture
06/30/05,SUMMER,2005,MT,R,083,NA,,F,A,610,Railyard capture
06/30/05,SUMMER,2005,MT,R,084,NA,,M,J,415,Railyard capture
06/30/05,SUMMER,2005,MT,R,085,NA,,F,J,425,Railyard capture
06/30/05,SUMMER,2005,MT,R,086,NA,,M,J,415,Railyard capture
06/30/05,SUMMER,2005,MT,R,087,NA,,F,A,725,Railyard capture
06/30/05,SUMMER,2005,MT,R,088,NA,,F,A,730,Railyard capture
06/30/05,SUMMER,2005,MT,R,089,NA,,M,J,280,Railyard capture
06/30/05,SUMMER,2005,MT,R,090,NA,,F,A,795,Railyard capture
06/30/05,SUMMER,2005,MT,R,091,NA,,F,J,275,Railyard capture
06/30/05,SUMMER,2005,MT,R,092,NA,,F,J,435,Railyard capture
06/30/05,SUMMER,2005,MT,R,094,NA,,M,A,1075,Railyard capture
06/30/05,SUMMER,2005,MT,R,096,NA,,F,J,237,Railyard capture
06/30/05,SUMMER,2005,MT,R,099,NA,,F,J,365,Railyard capture
06/30/05,SUMMER,2005,MT,R,097,NA,,M,A,1265,Railyard capture
06/30/05,SUMMER,2005,MT,R,098,NA,,M,J,345,Railyard capture
06/30/05,SUMMER,2005,MT,R,100,NA,,F,A,765,Railyard capture
06/30/05,SUMMER,2005,MT,R,101,NA,,F,J,355,Railyard capture
06/30/05,SUMMER,2005,MT,R,102,NA,,F,J,325,Railyard capture
06/30/05,SUMMER,2005,MT,R,103,NA,,M,A,1090,Railyard capture
06/30/05,SUMMER,2005,MT,R,104,NA,,F,A,795,Railyard capture
06/30/05,SUMMER,2005,MT,R,105,NA,,F,J,270,Railyard capture
06/30/05,SUMMER,2005,MT,R,106,NA,,F,J,315,Railyard capture
06/30/05,SUMMER,2005,MT,R,107,NA,,M,J,315,Railyard capture
06/30/05,SUMMER,2005,MT,R,108,NA,,M,A,1075,Railyard capture
06/30/05,SUMMER,2005,MT,R,109,NA,,F,J,335,Railyard capture
06/30/05,SUMMER,2005,MT,R,110,NA,,M,J,405,Railyard capture
06/30/05,SUMMER,2005,MT,R,111,NA,,M,J,315,Railyard capture
06/30/05,SUMMER,2005,MT,R,112,NA,,F,J,265,Railyard capture
06/30/05,SUMMER,2005,MT,R,113,NA,,M,A,1180,Railyard capture
06/30/05,SUMMER,2005,MT,R,114,NA,,F,A,725,Railyard capture
06/30/05,SUMMER,2005,MT,R,115,NA,,F,A,625,Railyard capture
06/30/05,SUMMER,2005,MT,R,116,NA,,M,A,1105,Railyard capture
06/30/05,SUMMER,2005,MT,R,117,NA,,M,J,230,Railyard capture
06/30/05,SUMMER,2005,MT,R,118,NA,,M,J,355,Railyard capture
06/30/05,SUMMER,2005,MT,R,119,NA,,F,J,390,Railyard capture
06/30/05,SUMMER,2005,MT,R,120,NA,,F,J,390,Railyard capture
06/30/05,SUMMER,2005,MT,R,121,NA,,M,J,375,Railyard capture
06/30/05,SUMMER,2005,MT,R,122,NA,,F,A,850,Railyard capture
06/30/05,SUMMER,2005,MT,R,123,NA,,F,A,780,Railyard capture
06/30/05,SUMMER,2005,MT,R,124,NA,,F,A,855,Railyard capture
06/30/05,SUMMER,2005,MT,R,125,NA,,M,A,290,Railyard capture
06/30/05,SUMMER,2005,MT,R,126,NA,,M,A,1039,Railyard capture
06/30/05,SUMMER,2005,MT,R,127,NA,,M,A,1069,Railyard capture
06/30/05,SUMMER,2005,MT,R,128,NA,,M,A,979,Railyard capture
06/30/05,SUMMER,2005,MT,R,129,NA,,M,A,1115,Railyard capture
06/30/05,SUMMER,2005,MT,R,130,NA,,F,J,285,Railyard capture
06/30/05,SUMMER,2005,MT,R,131,NA,,F,J,285,Railyard capture
06/30/05,SUMMER,2005,MT,R,132,NA,,F,J,280,Railyard capture
06/30/05,SUMMER,2005,MT,R,133,NA,,F,A,525,Railyard capture
06/30/05,SUMMER,2005,MT,R,134,NA,,F,A,705,Railyard capture
